"name1","name2","street1","street2","city","state","zip","zip4","county","phone","website","latitude","longitude","type_facility","sa","dt","mm","dm","bum","db","rpn","bu","nxn","vtrl","meth","hh","noop","pain","nmoa","moa","ubn","otp","cbt","dbt","tele","saca","trc","smon","smpd","smop","hi","res","op","rs","rl","rd","od","omb","odt","iop","ort","hid","hit","ct","gh","psyh","vamc","tbg","ihs","stg","lccg","dod","ssa","stmh","stdh","hla","jc","carf","ncqa","coa","hfap","np","cash","md","mc","si","pi","tricare","fsa","ss","pa","asl","sp","mhsu","vet","admil","milf","cj","sen","adol","pw","wn","mn","hiv","trma","sexa","dv","ya","nsc","adtx","bdtx","cdtx","mdtx","odtx","tgd","ico","gco","fco","mco","twfa","bia","cmi","mi","ang","mxm","crv","relp","beds","ch_ad","yad","adlt","fem","male","dui","duio","acc","acm","acu","baba","ccc","cmha","csaa","daut","dp","dsf","dvfp","eis_hiv","emp","haec","heoh","hivt","isc","itu","mhs","opc","sae","shg","smhd","ssu","ssd","stdt","ta","taec","tbs","cm","fpsy","hs","nrt","peer","stu","tcc","bsdm","nu","mu","bwn","bwon","ub","un","beri","pvtp","pvtn","cosmi","inpe","rpe","pc","naut","nmaut","acma","pmat","auinpe","aurpe","aupc","dlc","mhiv","mhcv","lfxd","clnd","copsu","daof","mst","noe","ofd","rc","piec","mdet","voc","hav","hbv","audo","mmd","mprep","fed","sotp","dea","samhsa","mhpa","hbt","hct","tod","vapn","vapp","vppd","oudo","nx","oth","mws","f17","f19","f25","f28","f30","f31","f35","f36","f37","f4","f42","f43","f47","f66","f67","f70","f81","f92","n24","n40","cosed"
"Lower Eastside Service Ctr Inc","SRR","7 Gouverner Slip E","","New York","NY","10002","","New York","212-566-3513","https://www.lesc.org","40.7110707","-73.9831585","SU","1","","","","1","","1","1","1","","","","","","","","","","1","","","1","1","1","","","","1","","1","1","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","1","1","1","1","1","","","","","","","1","","","","","","","1","1","","","1","","","","","","","","","","","1","1","","","1","1","","1","1","1","","1","1","","1","1","1","","","","1","1","","1","","1","1","1","1","","1","1","1","1","1","","","","1","1","1","1","1","1","1","","","1","","1","","1","1","1","1","1","","1","","1","","1","1","","","1","","","","","","","","1","","","","1","","","","1","","1","","1","","1","1","","1","","","","1","","","","","","1","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"Lower Eastside Service Ctr Inc","OTP 2","7 Gouverner Slip E","","New York","NY","10002","","New York","212-566-3513","https://www.lesc.org","40.7110707","-73.9831585","SU","1","","","","1","","1","1","1","","","","","","","","","","1","","","1","1","1","","","","1","","1","1","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","1","1","1","1","1","","","","","","","1","","","","","","","1","1","1","","1","","","","","","","","","","","1","1","","","1","1","","1","1","1","","1","1","","1","1","1","1","","","1","1","","1","","1","1","1","1","","1","1","1","1","1","","","","1","1","1","1","1","1","1","","","1","","1","","1","1","1","1","1","","1","","1","","1","1","","","1","","","","","","","","1","","","","1","","","","1","","1","","1","","1","1","","1","","","","1","","","1","","","1","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"Lower Eastside Service Ctr Inc","SRR2","7 Gouverner Slip E","","New York","NY","10002","","New York","212-566-3513","https://www.lesc.org","40.7109633","-73.9830097","SU","1","","","","1","","1","1","1","","","","","","","","","","1","","","1","1","1","","","","1","","1","1","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","1","1","","1","1","","","","","","","1","","","","","","","","1","1","","1","","","","","","","","","","","1","1","","","1","1","","1","1","","","1","1","","1","1","1","1","","","1","1","","1","","1","1","1","1","","1","1","1","1","1","","","","1","1","1","1","1","1","1","","","1","","1","","1","1","1","1","1","","1","","1","","1","1","","","1","","","","","","","","1","","","","1","","","","1","","1","","1","","1","1","","1","","","","1","","","","","","1","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"OTP Avenue A Clinic","","26 Avenue A","","New York","NY","10009","","New York","212-420-2078","https://MountSinai.org","40.7231314","-73.9853436","SU","1","","1","","1","","","1","","","1","","","","","","","1","1","","1","1","1","1","","","","","1","","","","","1","","","1","","","","1","","","","","","","","1","1","1","","1","","","","","","1","1","1","","1","","1","1","","1","1","","","","","","","","","1","1","","","","","","","","","","","","1","1","1","1","","","1","1","1","1","","","1","","","1","1","1","1","","","","","","","","","1","1","1","","1","1","1","1","1","1","","","","1","1","","1","1","1","1","1","1","1","1","","1","1","","1","1","","","1","1","","1","","","","1","","","","","","","1","","1","1","1","","","1","","","","1","1","1","","","","","1","1","1","","","","","1","1","","1","1","1","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Leadership Center","","309-311 East 6th Street","Basement, 1st-4th Floors","New York","NY","10003","","New York","212-780-1528","https://www.odysseyhousenyc.org","40.7272513","-73.9877367","SU","1","1","","","1","","1","1","1","1","","","","","","1","","","1","","1","1","1","","1","","","1","","","1","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","","1","","1","1","","1","1","","","","1","","","","1","","","","","1","","1","","","","1","","","","","1","","1","1","1","","1","1","1","1","1","","","1","","","1","1","","1","","","1","","","1","","1","1","1","1","1","","","1","1","1","","","","1","","1","1","1","1","1","","","1","","1","","1","1","1","1","1","","1","","1","1","","","1","","1","","1","1","","","","1","","","1","","1","1","1","","1","","","","1","1","1","","1","1","","","","1","1","","","","1","1","","","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"Elevate Point","Outpatient Clinic","203 Jay Street","2nd Floor","Brooklyn","NY","11201","","Kings","212-285-2022","https://elevatepoint.org","40.6980432","-73.9865145","SU","1","","","","1","","1","1","1","1","","","","","","","","","1","","1","1","1","1","","","","","1","","","","","","1","1","1","","","","","","","","","","","","1","","","","","1","","","","","1","","","","1","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","1","1","1","1","","","1","1","","","","","","1","1","1","1","1","","","1","","","1","","","1","1","1","1","","","","1","1","1","","","","1","1","","1","1","","1","","1","1","","","","1","1","1","1","","1","","1","1","1","1","1","1","","1","","","","","","","1","1","","1","","","","","","","1","","1","1","1","","","","","","","1","","","","","","","1","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Saint Marks Place Institute for MH Inc","","57 Saint Marks Place","1st, 2nd and 3rd Floors","New York","NY","10003","7902","New York","212-982-3470 x125","https://www.unitas-nyc.org","40.7283624","-73.9863473","SU","1","1","","","1","1","1","1","1","1","","","","","","1","","","1","","1","1","1","1","","","","","1","","","","1","1","","","1","","","","","","","","","","","","1","1","","","","","","","","","1","1","1","1","1","","1","","","","1","1","","","","","1","","","1","1","","1","","","1","1","1","1","","","1","1","1","1","1","1","","1","","1","1","","","1","","1","1","1","1","1","1","","1","1","","1","","1","1","1","1","1","1","1","","1","1","1","","","1","1","1","1","1","1","","1","","1","1","","","1","1","1","1","1","","1","","1","1","1","1","1","","1","1","","1","","","","1","1","","1","","1","1","1","1","1","1","1","1","1","","","","","","1","1","","1","","","","","","1","1","1","1","1","","","","","1","1","","","","","","","","","","","","","","1","","1","","","","","1"
"Center for Community Alternatives","COP","25 Chapel Street","Room 701","Brooklyn","NY","11201","","Kings","718-858-9658","https://www.communityalternatives.org","40.6973844","-73.986039","SU","1","","","","1","","","1","","","","","","","","","","","1","","1","1","1","1","","","","","1","","","","","1","","","1","","","","","","","","","","","","","","","","","1","","","","","1","1","1","1","1","","1","1","1","","1","","","","","","","","","1","1","","","","1","","","","","","","","","1","1","1","","","1","1","1","1","","","1","","","1","1","1","1","","","1","","","","","","1","1","1","","1","","","1","1","1","","","","1","1","","1","1","1","","","1","1","1","","","","1","1","1","","1","","1","","1","","","","1","","","","","","","1","1","1","","1","","","","","","","1","1","1","1","","","","","","","","","","","1","1","","1","","1","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"Bridge Back to Life Center Inc","","175 Remsen Street","10th Floor","Brooklyn","NY","11201","4300","Kings","516-520-6600","https://www.bridgebacktolife.com","40.6934999","-73.9913649","SU","1","1","","","1","1","1","1","1","1","","","","","","","","","1","","1","1","1","1","","","","","1","","","","1","1","","1","1","","","","","","","","","","","","1","","","","","","","","","","1","1","1","","1","1","","","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","","1","","1","1","","1","1","1","","1","1","","1","","1","1","1","1","1","1","","","1","1","","","","1","1","1","","1","1","1","","1","1","1","1","","1","1","1","1","1","","1","","1","1","1","1","1","1","","","","","","","","1","1","1","1","1","1","","","1","1","1","1","","1","1","1","","1","","1","1","","1","","","","","","1","1","1","","1","","","","","1","1","1","","","","","1","1","","","","","","","1","","1","","","","",""
"Realization Center Inc","Outpatient","175 Remsen Street","2nd Floor","Brooklyn","NY","11201","4300","Kings","718-342-6700","https://www.realizationcenternyc.com","40.6932388","-73.9917955","SU","1","","","","1","","","1","1","1","","","","","","1","","","1","","1","1","1","1","","","","","1","","","","","1","","1","1","","","","","","","","","","","","1","","","","","","","","","","1","1","1","1","1","","","","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","1","1","1","1","1","1","","1","1","1","","1","","1","1","1","1","1","1","","1","1","","1","","1","1","1","1","1","1","","","1","1","","1","","1","1","1","","1","1","1","","1","1","","1","","","1","1","1","1","","1","","1","1","1","1","1","1","","","1","","","","","","1","","","","","","","","","1","1","","1","1","1","","","","","","","1","","","","","","","","","","1","","","","","1","","","1","","","","","","","","","","","","","","","","","","",""
"Counseling Service of EDNY","Outpatient Clinic 2","175 Remsen Street","9th Floor","Brooklyn","NY","11201","","Kings","718-858-6631 x2101","https://","40.6932388","-73.9917955","SU","1","1","","","1","","","1","1","1","","","","","","","","","1","","1","1","1","1","","","","","1","","","","1","1","","","1","","","","","","","","","","","","1","","","","","","","","","","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","","","1","","1","1","1","1","1","1","","1","1","","1","","1","1","1","1","1","","","1","1","1","1","1","","1","1","1","","1","1","1","","1","1","1","","","1","1","1","1","1","1","1","","1","1","1","1","1","","1","","","","","","","1","1","","","","1","","","1","1","1","1","","1","1","1","1","1","","","","","1","","","","","1","1","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TRI Center Inc","Drug Abuse Treatment","175 Remsen Street","","Brooklyn","NY","11201","","Kings","718-858-4050","https://www.tricenter.com","40.6933929","-73.9914065","SU","1","","","","1","","1","1","1","1","","","","","","1","","","1","","1","1","1","","1","","","","1","","","","","1","","1","1","","","","","","","","","","","","1","","","","","","","","","","1","1","","1","1","","","1","","","","1","","","","1","1","","1","1","1","1","1","1","1","1","","","","","","","","1","1","1","1","","","1","1","1","1","","1","","","1","1","1","1","","","1","","","1","","1","1","1","1","1","","","1","1","1","","","","","1","1","","1","1","1","","1","1","","1","","1","","1","1","1","","1","","1","","1","1","","1","","1","1","1","","","","1","1","","","","","","","","","1","1","","1","","1","","","","","","","1","","","","","","1","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Educational Alliance Inc","Ctr for Recov/Well/Proj Contact/Outpt","25-29 Avenue D","","New York","NY","10009","6935","New York","646-395-4405","https://www.edalliance.org","40.720991","-73.9781797","SU","1","","","","1","","1","1","1","1","","","","","","1","","","1","","1","1","1","","","","","","1","","","","","1","","","1","","","","","","","","","","","1","","1","","1","","","1","","","1","","1","1","1","","","","1","","","","1","","","","","1","1","1","1","1","","1","","","1","1","","","","","","1","1","1","1","1","1","1","1","1","1","1","1","1","","1","","","","1","1","","1","1","1","1","","1","1","1","1","1","","","1","1","1","","1","1","1","1","1","1","1","1","1","","1","1","","1","","1","1","1","1","1","","1","","1","1","1","1","1","","","","1","1","1","","","1","1","1","1","1","1","","","","1","1","1","","1","1","1","","","1","","","","1","","","","","1","","","","1","1","","","","","1","","","","","","","","1","","","","","","","1","","","","","","",""
"Educational Alliance Inc","Ctr for Recov/Well/Pride Site/Res Trt","25-29 Avenue D","","New York","NY","10009","6935","New York","646-395-4405","https://www.edalliance.org","40.7209979","-73.9781748","SU","1","1","","","1","1","1","1","1","1","","","","","","1","","","1","","1","1","1","1","","","","1","","1","1","1","","","","","","","","","","","","","","","","","1","","1","","","1","","","","","1","1","","","1","","1","1","","","1","1","1","","","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","1","1","1","1","1","","1","1","1","1","","1","1","1","1","1","","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","","1","","1","","1","1","1","","1","1","1","1","1","","","1","1","1","1","1","1","1","","","1","1","1","","1","1","1","1","1","1","","","","1","","","","1","1","1","1","1","1","1","","","","","1","1","1","","","","","","1","","","","1","","","1","","1","","","","",""
"Realization Center Inc","Outpatient","19 Union Square West","7th Floor","New York","NY","10003","3304","New York","212-627-9600","https://www.realizationcenternyc.com","40.7361247","-73.9912374","SU","1","","","","1","","","1","1","1","","","","","","1","","","1","","1","1","1","1","","","","","1","","","","","1","","1","1","","","","","","","","","","","","1","","","","","","","","","","1","1","1","1","1","","","","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","1","1","1","1","1","1","","1","1","1","","1","","1","1","1","1","1","1","","1","1","","1","","1","1","1","1","1","1","","","1","1","","1","","1","1","1","","1","1","1","","1","1","","1","","","1","1","1","1","","1","","1","1","1","1","1","1","","","1","","","","","","1","","","","","","","","","1","1","","1","1","1","","","","","","","1","","","","","","","","","","1","","","","","1","","","1","","","","","","","","","","","","","","","","","","",""
"Mountainside Chelsea","Outpatient Clinic","243 West 18th Street","","New York","NY","10011","","New York","860-824-1397","https://Mountainside.com","40.7420067","-73.9996689","SU","1","","","","1","","1","1","1","1","","","","","","","","","1","","1","1","1","1","","","","","1","","","","","1","","1","1","","","","","","","","","","","","1","","1","","1","1","","","","","1","","","","1","","","1","","","","1","","","","","","","","1","1","","1","","","","1","","","","","","","1","1","1","","1","1","","1","1","","","1","","","1","1","1","1","","","1","1","","1","","1","1","1","1","1","","","","","","","","","","","1","","1","1","","","","","","1","","","1","1","1","","1","1","","1","1","1","1","1","1","","1","","","","","","","1","1","","1","1","","","","1","","1","","1","1","1","","","","","","","1","","","","","","1","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"Bliss Poston the Second Wind","Chemical Dependency Outpatient","928 Broadway","Suite 403","New York","NY","10010","","New York","212-481-1055","https://www.thesecondwind.com","40.7400754","-73.9892831","SU","1","1","","","1","1","1","1","1","","","","","","","","","","1","","1","1","","1","","","","","1","","","","1","1","","","1","","","","","","","","","","","","1","","","","","","","","","","1","1","1","1","1","","","","","","1","1","","","","","","","","","","","","","","","1","","","","","1","","1","","1","1","","","","1","","","","","","","1","1","1","1","1","","1","","","","","1","1","1","1","1","","","","","","","","","1","","1","","1","1","1","","1","","","1","","1","1","1","1","1","","1","","1","1","1","1","","1","","","","","","","","","1","1","","1","","","","","","","","","1","1","","","1","","","","","1","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brooklyn Hospital Center","9B Detox Unit","121 Dekalb Avenue","","Brooklyn","NY","11201","","Kings","718-250-8900 x0","https://www.tbh.org/specialized-services/detox-unit","40.6903222","-73.9782874","SU","1","1","1","1","1","1","1","1","1","","1","","","","","","","1","1","","","1","1","1","","","1","","","","","","","","","","","1","1","","1","","","","","","","","1","1","1","1","1","1","1","1","","","1","1","1","1","1","1","","","","","","1","","","","","","","","","","1","1","1","1","","","1","1","1","","1","","1","1","","","1","1","1","1","1","1","1","1","","","1","1","1","1","","","1","","","1","","1","1","1","1","","1","1","","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","","1","1","1","","1","1","","","1","","","","","","","1","1","","1","","1","1","1","","1","","1","","1","1","1","1","1","","","1","","1","1","","1","1","","1","1","1","","1","","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",""
"Inter Care Ltd","Chemical Dependency Outpatient","51 East 25th Street","4th Floor","New York","NY","10010","","New York","212-532-0303 x300","https://www.inter-care.com","40.7419324","-73.9861145","SU","1","","","","1","","1","1","1","1","","","","","","1","","","1","","1","1","1","1","","","","","1","","","","","1","","1","1","","","","","","","","","","","","1","","","","","","","","","","1","","","","1","","","","","","","1","","","","","","","","","1","","1","","","","1","","","","","","","1","1","1","1","1","1","","1","","","","1","","","1","1","1","1","","","1","1","","1","","1","1","1","1","1","","","","","1","","1","","1","","1","1","1","1","1","","","","","1","","","1","1","1","1","","1","","1","1","1","1","1","1","","","1","","1","","","1","1","1","","1","1","","","1","1","","1","","1","","","1","","","","","","1","","","","","","1","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"VA NY Harbor Healthcare System","Manhattan Campus","423 East 23rd Street","","New York","NY","10010","","New York","212-686-7500","https://","40.7370457","-73.9768461","SU","1","1","1","1","1","1","1","1","1","1","1","","","","","1","","1","","","1","1","1","1","","","1","","1","","","","","1","","1","1","1","1","","1","","1","","","","","","","","","","1","","","","","","1","","","","1","1","1","","","","","1","1","","","","","","","1","1","","1","1","1","","1","1","1","1","1","1","","1","1","","","1","1","1","1","1","","","1","","","1","1","1","1","","","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","","1","1","1","","1","1","1","","","1","1","","","","","","1","","","","1","1","1","","1","","1","1","1","1","","1","1","","1","1","","1","1","1","1","1","","1","1","1","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
