"name1","name2","street1","street2","city","state","zip","zip4","county","phone","website","latitude","longitude","type_facility","sa","dt","mm","dm","bum","db","rpn","bu","nxn","vtrl","meth","hh","noop","pain","nmoa","moa","ubn","otp","cbt","dbt","tele","saca","trc","smon","smpd","smop","hi","res","op","rs","rl","rd","od","omb","odt","iop","ort","hid","hit","ct","gh","psyh","vamc","tbg","ihs","stg","lccg","dod","ssa","stmh","stdh","hla","jc","carf","ncqa","coa","hfap","np","cash","md","mc","si","pi","tricare","fsa","ss","pa","asl","sp","mhsu","vet","admil","milf","cj","sen","adol","pw","wn","mn","hiv","trma","sexa","dv","ya","nsc","adtx","bdtx","cdtx","mdtx","odtx","tgd","ico","gco","fco","mco","twfa","bia","cmi","mi","ang","mxm","crv","relp","beds","ch_ad","yad","adlt","fem","male","dui","duio","acc","acm","acu","baba","ccc","cmha","csaa","daut","dp","dsf","dvfp","eis_hiv","emp","haec","heoh","hivt","isc","itu","mhs","opc","sae","shg","smhd","ssu","ssd","stdt","ta","taec","tbs","cm","fpsy","hs","nrt","peer","stu","tcc","bsdm","nu","mu","bwn","bwon","ub","un","beri","pvtp","pvtn","cosmi","inpe","rpe","pc","naut","nmaut","acma","pmat","auinpe","aurpe","aupc","dlc","mhiv","mhcv","lfxd","clnd","copsu","daof","mst","noe","ofd","rc","piec","mdet","voc","hav","hbv","audo","mmd","mprep","fed","sotp","dea","samhsa","mhpa","hbt","hct","tod","vapn","vapp","vppd","oudo","nx","oth","mws","f17","f19","f25","f28","f30","f31","f35","f36","f37","f4","f42","f43","f47","f66","f67","f70","f81","f92","n24","n40","cosed"
"BAART Programs","E Street","1235 E Street","","Fresno","CA","93706","","Fresno","214-379-3300","https://baartprograms.com/locations/california/e-st","36.7324354","-119.7993817","SU","1","","1","","1","","","1","1","","1","","","","","","","1","1","","1","1","1","","1","","","","1","","","","","1","","","1","","","","","","","","","","","","","","","","","1","","","","","1","","1","","1","1","","1","","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","","","","","","","","1","1","","","","1","1","1","1","1","1","1","","","1","1","1","1","","","","","","1","","","1","1","1","","","","","1","1","1","","","","1","1","","1","1","","1","","1","1","","","","","","","","","1","1","1","1","1","1","","1","","","","","","1","","","","","","","","","","","","1","1","","","","","","","","","","","","","","1","1","","1","1","1","","","","1","1","","1","1","","","","","","","","","1","","","","","","","","","","","",""
"WestCare California Inc","Health and Wellness Center","611 East Belmont Avenue","","Fresno","CA","93701","","Fresno","559-251-4800","https://www.westcarecalifornia.org","36.7506205","-119.8036559","SU","1","","","","","","","","","","","","","","","1","","","1","","","1","1","","1","","","","1","","","","","","","1","1","","","","","","","","","","","","1","","1","","","1","","","","","1","1","","","","","1","","","","","1","","","","1","","","","1","1","","","","","","","","","","","","","1","1","1","","","","1","1","1","1","","1","","","1","1","1","1","","","1","","","1","","","1","1","1","","","","1","1","1","","1","","1","1","1","","1","1","1","","1","1","","1","","1","","","1","","","","","","","","","","","1","","","1","1","","","1","","1","","1","","","","","","","1","","1","1","","","","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aspire Counseling Services LLC","","7498 North Remington Avenue","Suite 102","Fresno","CA","93711","","Fresno","888-585-7373","https://www.aspirecounselingservice.com","36.845912","-119.8029215","SU","1","","","","","","","","","","","","","","","1","","","1","","1","1","1","","1","","","","1","","","","","","1","1","","","","","","","","","","","","","","","1","","1","","","","","","1","","1","1","1","1","","","","","","1","1","","","1","1","1","1","1","1","","1","1","1","1","","","","","","","","1","1","1","1","1","1","1","1","1","1","","1","","1","1","1","1","1","","","1","","","1","","1","1","1","1","","","","","","","","1","","1","1","1","1","1","1","1","","","","","1","","","","1","1","1","","","","","","","","","1","","1","1","1","1","","","1","","1","1","1","","","","","","1","","","1","1","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"WestCare California Inc","","2772 South MLK Jr Boulevard","","Fresno","CA","93706","","Fresno","559-251-4800","https://www.westcarecalifornia.org","36.7003007","-119.8006768","SU","1","1","","","","","","","","","","","","","","1","","","1","","","1","1","","1","","","1","","1","1","1","","","","","","","","","","","","","","","","","1","","1","","","1","","","","","1","1","","","","","1","","","","","1","","","","1","","","1","1","1","","1","","1","","","1","1","1","1","1","","1","1","1","","1","1","","1","1","","","1","1","","1","1","1","1","","","","","","1","1","","1","1","1","","","","1","1","1","","1","","1","1","1","1","1","1","1","","","1","","1","","1","","","1","","","","","","","","","","","1","","","1","1","","","1","","1","","1","","","","","","","1","","1","1","","","1","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Central California Recovery Inc","","1204 West Shaw Avenue","Suite 102","Fresno","CA","93711","","Fresno","559-681-1947","https://","36.8086621","-119.813097","SU","1","","","","","","","","","","","","","","","1","","","1","","1","1","1","","1","","","","1","","","","","","","1","1","","","","","","","","","","","","1","","","","","","","","","","1","1","","1","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","","1","1","1","","","","1","","","1","1","1","1","","","1","","","","","","1","1","1","","","","1","","","","1","","","1","1","","","1","1","","","","","1","","1","","1","1","","","","","","","","","","","1","","1","","1","","","1","","1","","1","","","","","","","","","1","1","","1","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nuestra Casa Recovery Home","","1414 West Kearney Boulevard","","Fresno","CA","93706","","Fresno","559-485-0501","https://www.hispaniccommission.org","36.7290607","-119.8279873","SU","1","","","","","","","","","","","","","","","1","","","1","","","1","","1","","","","1","","","1","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","1","1","","","","","","","","","1","","","","","1","","","","","1","","","","","","","","","","","","","1","1","","","1","","","1","","","","1","","","1","1","","1","","","","","","","","","1","1","1","","","","","","1","","","","","1","1","1","1","1","1","","1","","","1","","1","","","","","","","","","","","","","","1","","","","1","","","1","","1","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mental Health Systems Inc","Fresno First Womens Residential TX","2550 West Clinton Avenue","Unit 311","Fresno","CA","93705","","Fresno","559-264-7521 x2","https://turnbhs.org","36.7723477","-119.8427806","SU","1","1","","","","","","","","","","","","","","1","","","1","","","1","1","","1","","","1","","1","1","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","1","","1","","","1","","1","1","1","1","","","","","","","1","1","","","1","","1","1","","1","1","1","1","1","","1","1","","","1","","1","1","1","1","","1","1","","1","1","1","","","","1","","","1","1","","1","1","1","","1","","","","1","","1","","","1","1","1","1","1","1","","1","","1","1","","1","","1","1","1","","","","","","","","","","1","","","","1","","","1","","1","","1","","","","","","","1","","1","1","1","1","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Comprehensive Addiction Programs Inc","","2445 West Whitesbridge Avenue","Suite 142","Fresno","CA","93706","4209","Fresno","559-264-5096","https://www.caprehab.org","36.734718","-119.839349","SU","1","1","","","","","","","","","","","","","","1","","","1","","","1","1","","1","","","1","","","1","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","1","1","","","","","","","","","1","1","","","","","","","1","1","1","1","1","","1","1","1","","1","","1","1","1","1","","1","","","1","1","1","1","","","","","","1","","","1","1","1","","","","","","","","","","1","1","1","1","1","1","1","","1","","1","1","","","","1","1","","","","","","","","","","","1","","","","1","","","1","","1","","1","","","","","","","1","","1","1","","","","","","","","","","","","","1","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Promesa Behavioral Health","","7120 North Marks Avenue","Suite 110","Fresno","CA","93711","0268","Fresno","559-439-5437","https://www.promesabehavioral.org","36.8392221","-119.8462194","SU","1","","","","","","","","","","","","","","","1","","","1","","1","1","1","1","","","","","1","","","","","","","","1","","","","","","","","","","","","1","1","","","","1","","","","","1","1","","1","1","","1","","","","1","1","1","","1","1","1","1","","1","1","","1","1","","1","","","","","","","","1","1","1","1","","1","","1","","","","1","","1","1","1","1","1","","","1","","","1","","1","1","1","1","","","","","","","","1","1","1","1","1","","1","1","1","","","","","1","","","","1","1","1","","","","","","","","","","1","","","","1","","1","","","","","","","","","","","1","1","","1","1","1","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Delta Care Inc","","4705 North Sonora Avenue","Suite 113","Fresno","CA","93722","","Fresno","559-276-7558","https://deltacareinc.org","36.8062036","-119.8662315","SU","1","","","","","","","","","","","","","","1","","","","1","","1","1","1","","","1","","","1","","","","","","","1","1","","","","","","","","","","","","1","","1","","","","","","","","1","1","1","1","","","1","1","1","","1","","","","","","","","","","","","","","","","","","","","","","","1","1","1","","1","1","1","1","1","1","1","1","","","1","1","1","1","","","1","","","1","","","1","1","1","","1","","1","1","1","","1","","","1","1","1","1","1","1","","1","","","1","","1","","1","1","1","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","1","","","1","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Central Valley Recovery Services Inc","New Hope","212 North Stevenson Street","","Visalia","CA","93291","","Tulare","559-625-0440","https://www.cvrshome.com/","36.3315629","-119.299644","SU","1","","","","","","","","","","","","","","","1","","","1","","","1","1","","1","","","1","","1","1","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","1","1","","","","","1","1","1","1","1","1","","","","1","","","","1","","","1","1","","","","","","","","","","1","1","1","","1","1","","1","1","","","1","","","1","1","1","","","","1","","","","","","1","1","1","","1","1","1","1","1","1","1","","1","1","1","1","","1","1","","1","1","","1","","1","","1","1","1","","","","","","","","","","1","","","1","","","","1","","","1","","","","","","","","1","","1","1","","","","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tulare County Health and Human Servs","Visalia Recovery Center","942 South Santa Fe Street","","Visalia","CA","93292","","Tulare","559-636-4000","https://www.tchhsa.org","36.3217004","-119.2875299","SU","1","","","","","","","","","","","","","","","1","","","1","","1","1","1","","1","","","","1","","","","","","","","1","","","","","","","","","","1","","1","","1","","","","","","","","","1","","1","","","1","","","1","1","","","","","","","","","1","1","","","","","","","","","","","","","1","1","","","","1","","1","1","1","","1","","","1","1","1","1","","","1","","","1","","","1","","1","","1","1","","1","1","","1","","","1","1","","1","1","1","","1","1","","1","","1","","","1","1","","","","","","","","","","","","1","","1","","","1","","1","","1","","","","","","","1","","1","","","","","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"WestCare California Inc","","1855 North Douty Street","","Hanford","CA","93230","3067","Kings","559-251-4800","https://www.westcare.com","36.3450822","-119.6453326","SU","1","","","","","","","","","","","","","","","1","","","1","","1","1","1","1","","","","","1","","","","","","","","1","","","","","","","","","","","","1","","1","","","1","","","","1","","","","","","","1","","1","1","1","","","","","","","1","","","","","","","","","","","","","","","","1","1","","","","1","1","1","1","1","","1","","1","","","1","1","","","","","","","","","1","1","1","","","","","1","","","1","","","1","1","","1","1","1","","","1","","1","","","","1","1","1","","","","","","","","","","1","","","","1","","","1","","1","","1","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BAART Programs Visalia Inc","Addiction Research and Treatment Inc","1646 South Court Street","","Visalia","CA","93277","","Tulare","559-625-8890","https://www.baartprograms.com","36.3157652","-119.2913175","SU","1","1","1","","1","","","1","","","1","","","","","","","1","1","","1","1","","","1","","","","1","","","","","1","","","1","","","","","","","","","","","","1","","1","","","1","","","","","1","1","1","1","1","1","1","1","","","1","","","","","","","","1","","","","","","","","","","","","","1","","1","1","","","","","","1","","1","","1","","","1","1","1","1","","","1","","","1","","","1","1","1","","","","1","1","1","1","","","","1","1","","","1","","1","1","1","1","1","","1","","1","1","1","","","1","1","1","","","","1","","","","","","1","","","","","","","","","","","","","","","1","1","","","","","","","","","","","1","1","1","1","1","1","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Central Valley Recovery Services Inc","New Vision for Women","1425 East Walnut Avenue","","Visalia","CA","93292","","Tulare","559-625-4072","https://www.cvrshome.com/","36.3123397","-119.2765229","SU","1","","","","","","","","","","","","","","","1","","","1","","","1","1","","1","","","1","","1","1","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","1","1","","","","","1","1","1","1","1","1","","","","1","","","","1","","","","","","","","","","","","","","1","1","1","","1","1","","1","1","","","1","","","1","1","1","","","","1","","","","","","1","1","1","","1","1","1","1","1","1","1","","1","1","1","1","","1","1","","1","1","","1","","1","","1","1","1","","","","","","","","","","1","","","1","","","","1","","","1","","","","","","","","1","","1","1","","","","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"WestCare California Inc","WestCare Adolescent Services","410 East 7th Street","Suites 5, 7 and 9","Hanford","CA","93230","","Kings","559-584-8100","https://www.westcare.com","36.3276305","-119.6405193","SU","1","","","","","","","","","","","","","","","1","","","1","","1","1","1","1","","","","","1","","","","","","","","1","","","","","","","","","","","","1","","1","","","1","","","","1","","","","","","","1","","1","1","1","","","","","","","1","","","","","","","","","","","","","","","","1","1","1","","","1","1","1","1","1","","1","","1","","","1","1","","","","","","","","","1","1","1","","","","","1","","","1","","","1","1","","1","1","1","","1","1","","1","","","","1","1","1","","","","","","","","","","1","","","","1","","","1","","1","","1","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Champions Recovery Alternative Program","","311 North Douty Street","","Hanford","CA","93230","","Kings","559-583-9300","https://championsrecovery.org","36.3282103","-119.6457625","SU","1","","","","","","","","","","","","","","","1","","","1","","1","1","1","","1","","","","1","","","","","","","1","1","","","","","","","","","","","","","","1","","","","","","","","","1","","","","","1","","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","","","","","","","","","1","1","","","","1","1","1","1","1","","1","","","1","1","1","1","","","1","","","1","","","1","1","1","","1","","1","1","1","","1","","","1","1","1","","1","1","","1","1","","1","","1","","1","1","1","","","","","","","","","","1","","","","1","","","1","","1","","1","","","","","","1","1","","1","1","","1","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"WestCare California Inc","","1150 West Lacy Boulevard","Rooms 511, 512, 563, and 707","Hanford","CA","93230","9216","Kings","559-251-4800","https://www.westcare.com","36.330245","-119.6621301","SU","1","","","","","","","","","","","","","","","1","","","1","","1","1","1","1","","","","","1","","","","","","","","1","","","","","","","","","","","","1","","1","","","1","","","","1","","","","","","","1","","1","1","1","","","","","","","1","","","","","","","","","","","","","","","","1","1","","","","1","1","1","1","1","","1","","1","","","1","1","","","","","","","","","1","1","1","","","","","1","","","1","","","1","1","","1","1","1","","","1","","1","","","","1","1","1","","","","","","","","","","1","","","","1","","","1","","1","","1","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WestCare California Inc","","1259 North 13th Avenue","","Hanford","CA","93230","9219","Kings","559-251-4800","https://www.westcare.com","36.3372573","-119.6898862","SU","1","","","","","","","","","","","","","","","1","","","1","","1","1","1","1","","","","","1","","","","","","","","1","","","","","","","","","","","","1","","1","","","1","","","","1","","","","","","","1","","1","1","1","","","","","","","1","","","","","","","","","","","","","","","","1","1","","","","1","1","1","1","1","","1","","1","","","1","1","","","","","","","","","1","1","1","","","","","1","","","1","","","1","1","","1","1","1","","","1","","1","","","","1","1","1","","","","","","","","","","1","","","","1","","","1","","1","","1","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Samuels House","Samuels House 2","11517 15th Avenue","","Lemoore","CA","93245","","Kings","559-583-9300","https://championsrecovery.org","36.3059747","-119.7267228","SU","1","1","","","","","","","","","","","","","","1","","","1","","1","1","1","","1","","","1","","1","1","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","1","","","","","1","","1","1","1","1","1","1","1","1","1","","","","1","1","1","1","1","","","1","1","1","1","1","","1","1","","","","1","1","1","1","1","","1","","","1","1","","1","","","1","","","1","","","1","1","1","","","","1","1","1","","","","","","1","1","","1","1","","1","1","","1","","1","","1","1","1","","","","","","","","","","1","","","","1","","","1","","1","","1","","","","","","1","1","","1","1","","1","1","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"County of Madera","Madera County Behavioral Health Servs","209 East 7th Street","","Madera","CA","93638","","Madera","559-395-0451","https://www.maderacounty.com/home","36.9609767","-120.0563444","SU","1","","","","","","","","","","","","","","","1","","","1","","1","1","1","","1","","","","1","","","","","","","","1","","","","","","","","","","1","","1","1","","","","","","","","","1","1","1","","","","1","","1","1","1","1","","","","1","","","1","1","","","1","","","1","","","","","","","","1","1","","","","1","1","1","1","1","","1","","","1","1","1","1","","","1","","","","1","1","1","","1","","1","1","","1","1","","1","","1","1","1","","1","1","1","","1","1","","1","","1","","1","1","","","","","","","","","","","","","1","1","","","","1","","","1","","","","","","","","1","","1","","","","","","","","","1","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"County of Madera","Children Youth and Family Recovery Ctr","117 North R Street","Suite 101","Madera","CA","93637","","Madera","559-395-0451","https://www.maderacounty.com/government/behavioral-health-services","36.9537463","-120.0736487","SU","1","","","","","","","","","","","","1","","","","","","1","","1","1","1","","1","","","","1","","","","","","","","1","","","","","","","","","","1","","1","1","","","","","","","","","1","1","1","","","","1","","1","1","1","1","","","","1","","1","","","","","1","","","1","","","","","","","","1","1","1","","","1","","1","1","1","","1","","1","1","1","1","1","","","1","","","","","1","1","","1","","1","1","","1","1","","1","","1","1","1","","1","1","1","","1","1","","1","","1","","1","1","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
