"name1","name2","street1","street2","city","state","zip","zip4","county","phone","website","latitude","longitude","type_facility","sa","dt","mm","dm","bum","db","rpn","bu","nxn","vtrl","meth","hh","noop","pain","nmoa","moa","ubn","otp","cbt","dbt","tele","saca","trc","smon","smpd","smop","hi","res","op","rs","rl","rd","od","omb","odt","iop","ort","hid","hit","ct","gh","psyh","vamc","tbg","ihs","stg","lccg","dod","ssa","stmh","stdh","hla","jc","carf","ncqa","coa","hfap","np","cash","md","mc","si","pi","tricare","fsa","ss","pa","asl","sp","mhsu","vet","admil","milf","cj","sen","adol","pw","wn","mn","hiv","trma","sexa","dv","ya","nsc","adtx","bdtx","cdtx","mdtx","odtx","tgd","ico","gco","fco","mco","twfa","bia","cmi","mi","ang","mxm","crv","relp","beds","ch_ad","yad","adlt","fem","male","dui","duio","acc","acm","acu","baba","ccc","cmha","csaa","daut","dp","dsf","dvfp","eis_hiv","emp","haec","heoh","hivt","isc","itu","mhs","opc","sae","shg","smhd","ssu","ssd","stdt","ta","taec","tbs","cm","fpsy","hs","nrt","peer","stu","tcc","bsdm","nu","mu","bwn","bwon","ub","un","beri","pvtp","pvtn","cosmi","inpe","rpe","pc","naut","nmaut","acma","pmat","auinpe","aurpe","aupc","dlc","mhiv","mhcv","lfxd","clnd","copsu","daof","mst","noe","ofd","rc","piec","mdet","voc","hav","hbv","audo","mmd","mprep","fed","sotp","dea","samhsa","mhpa","hbt","hct","tod","vapn","vapp","vppd","oudo","nx","oth","mws","f17","f19","f25","f28","f30","f31","f35","f36","f37","f4","f42","f43","f47","f66","f67","f70","f81","f92","n24","n40","cosed"
"Renova Recovery LLC","","35 Beaverson Boulevard","Building 6A","Brick","NJ","08723","","Ocean","908-533-8908","https://www.renovarecovery.com/","40.0314399","-74.1464185","SU","1","","","","1","","1","1","1","1","","","","","","1","","","1","","","1","1","","1","","","","1","","","","","1","1","1","1","","","","","","","","","","","","1","","1","","","","","","","","1","","","","1","","","","","","","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","","","","","","","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","","1","1","","","1","","","1","","","1","1","1","","","","1","1","1","","","","1","1","1","1","1","1","1","","1","1","","1","","1","1","1","","1","1","1","","1","1","1","1","1","1","","1","1","1","","","","1","1","","1","","1","","","","1","1","","","1","1","1","1","","1","","","","","","","","","","1","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","1"
"Maryville Inc","Residential","610 Pemberton Browns Mills Road","","Pemberton","NJ","08068","","Burlington","609-283-0262","https://www.maryvillenj.org","39.9673051","-74.6389644","SU","1","1","","","","","","1","1","1","","","","","","1","","","1","","","1","1","","1","","","1","","1","1","1","","","","","","","","","","","","","","","","","1","","1","","","1","","","","","1","1","","1","1","1","1","1","1","1","","1","","","","","","","","","","","1","","","","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","","1","","1","","","1","1","","1","","","1","1","","1","","1","1","1","1","","","1","","1","1","","1","","1","1","1","1","1","1","1","","1","1","1","1","","1","1","1","1","1","","1","","1","1","1","1","1","","1","","1","1","1","","","1","1","1","1","1","1","1","","","1","1","","","1","1","1","","1","","","","","1","1","","","","","1","1","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ocean Monmouth Care LLC","","150 Brick Boulevard","","Brick","NJ","08723","","Ocean","732-458-2180","https://www.pinnacletreatment.com/","40.0309375","-74.1444512","SU","1","","1","","1","","","1","","1","1","","","","","","","1","1","","1","1","","","1","","","","1","","","","","1","","1","1","","","","","","","","","","","","1","1","1","","","1","","","","","1","1","1","1","1","1","1","","","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","","","","","","","","","1","1","1","1","","1","1","1","","","","1","","","1","1","1","1","","","1","","","1","","1","1","1","1","","","","","1","1","1","1","","1","1","1","","1","1","","1","1","1","1","1","","1","","1","1","1","1","1","1","1","1","1","","1","1","","","","","","","","","1","","","","","","","","","1","1","1","1","1","1","1","","","","","","1","","","1","1","1","1","","1","","","","1","","","1","1","1","","","","","","","","","","","","","","","","","","","",""
"HBH Counseling Inc","","74 Brick Boulevard","Building 4, Suite 206-B","Brick","NJ","08723","7984","Ocean","732-477-0862 x1","https://individualcarecenter.com/locations/hbh-counseling-inc/","40.0234607","-74.1457944","SU","1","","","","","","","","","","","","","","","1","","","1","","1","1","1","","1","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","1","","","","1","1","","1","","","","1","","","","","","","1","1","1","","","1","1","1","","","","","","","1","1","1","1","1","","1","","1","","","","1","","1","1","1","1","1","","","1","","","","","1","1","","1","","1","","","","","","1","","1","","1","","1","1","1","","","","","","","","","","1","1","","","","","","","","","1","","","","","1","","","1","","1","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"201 Recovery Center","DBA Trost Health New Jersey","20 Gibson Place","Suite 202","Freehold","NJ","07728","","Monmouth","407-470-1255","https://","40.2464975","-74.2970168","SU","1","","","","","","1","","1","","","","","","","","","","1","","1","1","1","1","","","","","1","","","","","","","1","1","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","1","","","","","1","","","1","1","","","","","1","","","","","","","","1","1","1","1","","","","1","1","1","","1","","","1","1","1","1","","","1","1","","","","1","1","1","1","","","1","","1","","","","","1","","1","","1","1","1","","","1","","1","","","","1","1","1","","1","","","","","1","","1","","1","","","","","","","1","","","","","","","","","","","","1","1","","","","","","","","1","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Monmouth Healthcare Services LLC","DBA Harbor MAT","495 Jack Martin Boulevard","Unit 6","Brick","NJ","08724","","Ocean","732-344-0596","https://harbormat.com","40.0801831","-74.1356489","SU","1","","1","","1","","","1","","","1","","","","","1","","1","1","","1","1","","","1","","","","1","","","","","1","","1","1","","","","","","","","","","","","1","","","","","1","","","","","1","1","1","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","1","1","1","","","","","1","","1","","1","","","1","1","1","1","","","1","","","1","","1","1","1","1","","","","1","1","1","1","1","","1","1","1","","1","1","1","1","1","1","1","1","","1","","","1","1","","","1","1","1","1","","","1","","1","","","1","","","1","","1","","1","","","","","","","1","","1","1","","","","","","","","1","","","1","1","","1","1","1","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","",""
"New Hope Integrated Behavioral Health","Freehold Outpatient","2-2 Monmouth Avenue","Suite 2-A","Freehold","NJ","07728","","Monmouth","732-308-0113 x6010","https://www.newhopeibhc.org","40.2605689","-74.2788817","SU","1","","","","1","","1","1","1","1","","","","","","","","","1","","1","1","1","","1","","","","1","","","","","1","","1","1","","","","","","","","","","","","1","1","1","","","1","","","","","1","1","","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","1","1","1","1","1","","","1","1","","","","1","","1","1","1","1","1","1","","1","","","1","","1","1","1","1","","","","1","1","1","","1","","1","1","1","","1","1","1","","","1","","1","","1","1","","1","1","","1","","1","1","1","1","","","1","","","","","","","","1","1","1","1","","","","","","1","","","1","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"CPC Integrated Health","CPC Freehold Counseling Center","22 Court Street","","Freehold","NJ","07728","","Monmouth","732-780-7387","https://www.cpcintegratedhealth.org","40.2602344","-74.2758393","SU","1","","","","1","","1","1","1","1","","","","","","1","","","1","","1","1","1","","1","","","","1","","","","","1","","1","1","","","","","","","","","","","","","","1","","1","","","","","","1","1","1","","1","1","1","1","","1","1","1","","","","","","1","","1","1","","1","1","1","1","1","","","","","","","1","1","1","1","","1","1","1","1","1","","1","","1","1","1","1","1","","","1","1","","","","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","","1","1","1","1","1","1","1","1","","1","1","1","1","1","","1","","1","1","1","1","","","1","1","","1","1","","","1","1","1","1","1","1","","","","1","","","1","1","1","","","","1","","","","1","","","","","1","","1","1","","","","1","","","1","","","1","","","","","","1","","","","","","","","","","","","","1"
"Ocean Medical Services Inc","","2001 Route 37 East","","Toms River","NJ","08753","","Ocean","732-288-9322","https://www.pinnacletreatment.com","39.9505429","-74.1422134","SU","1","","1","","1","","","1","1","1","1","","","","","","","1","1","","1","1","","","1","","","","1","","","","","1","","1","1","","","","","","","","","","","","1","1","1","","","1","","","","","1","1","1","","1","1","1","","","","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","","","","","","","","1","1","","","1","1","1","1","","","","1","","","1","1","1","1","","","1","","","1","","1","1","1","1","","","1","","1","1","1","","","1","1","1","","1","1","1","","","1","1","1","","1","","","1","","","1","1","","1","","1","1","1","","1","","","","","","","1","","","","","","","","","","1","1","1","1","","","","","","","1","1","","","1","1","1","1","1","1","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","",""
"Bright Harbor Healthcare","Recovery Services","340 Atlantic City Boulevard","","Bayville","NJ","08721","","Ocean","732-349-5550","https://www.brightharbor.org","39.9188791","-74.1598241","SU","1","1","","","1","1","1","1","1","1","","","","","","","","","1","","1","1","1","","1","","","","1","","","","1","1","","1","1","","","","","","","","","","","","1","1","1","","","","","","","","1","1","1","1","1","1","1","1","","1","","1","","","","","","","","","","","1","","","","1","1","1","","","1","1","1","1","1","","1","1","","1","1","","","1","","","1","1","1","1","1","","1","1","","1","","1","1","1","1","1","","","","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","","","1","1","1","1","","1","","1","1","1","1","1","","1","1","","","","","","","1","1","","1","1","","","","1","","1","1","1","1","1","","1","","","","","1","","","","","1","","1","1","1","","","1","","","","1","","","","","","","","","","","","","","","","","","","","",""
"Freedom Recovery NJ LLC","","143 Highway 33","1st Floor","Englishtown","NJ","07726","","Monmouth","732-444-2151","https://freedomrecoverynj.com","40.2970872","-74.3583989","SU","1","","","","1","","1","1","1","1","","","","","","1","","","1","","1","1","1","","1","","","","1","","","","","1","1","1","1","","","","","","","","","","","","1","","","","1","","","","","","1","","","","1","","","","","","","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","","","","","","1","1","1","1","1","1","1","","1","1","1","","1","","","1","1","1","1","","","1","1","","1","","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","","1","","1","1","1","1","1","1","","1","","1","","","","1","","","1","","1","1","1","1","1","1","1","1","1","1","1","1","","1","","","","1","1","","","","","1","1","1","1","","","1","","","","1","","","","","","","","","","","","","","","","","","","","",""
"Counseling Center at Freehold","","4345 U.S. Highway 9 North","","Freehold","NJ","07728","","Monmouth","732-431-5300","https://","40.2850766","-74.2933907","SU","1","","","","","","","1","1","1","","","","","","","","","1","","1","1","1","","1","","","","1","","","","","1","1","1","1","","","","","","","","","","","","1","1","1","","1","","","","","","1","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","","1","","1","1","1","1","1","","","1","","","1","","1","1","1","1","","1","","","1","1","1","1","","1","1","1","1","1","1","1","","","1","","1","","","","1","1","1","","1","","1","1","1","1","","1","","","","","","","","1","1","1","1","1","","","","","","","1","","1","1","1","1","","","","","","1","","","","1","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Solstice Counseling and Wellness Ctr","Burlington County Campus","300 Birmingham Road","","Pemberton","NJ","08068","1326","Burlington","609-288-8844","https://www.SolsticeCares.com","39.9759162","-74.7108727","SU","1","","","","1","","1","1","1","1","","","","","","1","","","1","","1","1","1","","1","","","","1","","","","","1","","1","1","","","","","","","","","","","","1","1","1","","","1","","","","","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","","","","","","","1","1","1","1","1","1","1","1","1","1","1","1","1","","","1","1","1","1","","","1","1","","1","","1","1","1","1","1","1","","1","1","1","","1","","1","1","1","1","1","1","1","","1","1","1","1","","1","","1","1","1","","1","","1","1","1","1","1","1","","","1","1","1","","","1","1","1","1","1","","","","","","1","1","","1","1","1","","","1","","","","1","","","","","1","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spiritual Awakening LLC","DBA Silver Linings Recovery","251 Princeton Hightstown Road","Suite 1","Hightstown","NJ","08520","","Mercer","267-358-5150","https://www.silverliningsrecoverycenter.com","40.281633","-74.5575426","SU","1","","","","","","1","1","1","1","","","","","","1","","","1","","1","1","1","","1","","","","1","","","","","1","1","1","1","","","","","","","","","","","","1","","","","1","","","","","","1","","","","1","1","","","","","","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","","","","","","","1","1","1","1","1","1","1","1","1","1","1","1","","","1","1","1","1","","","1","1","","1","","1","1","1","1","","","","1","1","1","","1","","1","1","1","1","1","1","1","","1","1","1","1","","1","1","1","1","1","1","1","","1","1","1","1","1","1","","","","1","","","","1","1","1","","1","1","","","","1","1","1","","1","1","1","1","","1","","","","1","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Jersey Behavioral Care LLC","","9 Huxley Court","","Marlboro","NJ","07746","","Monmouth","732-907-0709","https://www.njpcenter.com","40.2951173","-74.2515252","SU","1","","","","1","","1","1","1","1","","","","","","1","","","","","1","1","1","1","","","","","1","","","","","1","1","1","1","","","","","","","","","","","","1","1","1","","","","","","","","1","1","1","1","1","","","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","1","1","1","1","1","1","1","1","1","1","","1","1","","1","1","1","1","1","1","","1","1","","1","","1","1","1","1","1","1","","1","1","","","1","1","1","1","1","","1","1","1","","1","","","","","","1","1","1","1","1","1","","1","1","1","1","1","1","","1","1","1","1","","","1","1","1","1","1","1","","","","1","1","1","","1","1","1","1","","1","","","","1","","","","1","1","1","","","1","","","1","","","1","","","","1","","","","","","","","","","","","","1","","","","","1"
"Agape Counseling Services Inc","","815 U.S. Highway 9","","Lanoka Harbor","NJ","08734","","Ocean","609-242-0086","https://www.agapenj.org","39.8657707","-74.1693716","SU","1","","","","","","1","1","1","","","","","","","1","","","1","","1","1","1","","1","","","","1","","","","","","","1","1","","","","","","","","","","","","1","1","1","","","","","","","","1","1","1","1","","","1","1","1","","","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","","","","","","1","1","1","1","1","1","1","1","1","1","1","","1","","","1","1","1","1","1","","1","","","1","","1","1","1","1","","1","","1","1","1","","1","","1","1","1","1","1","1","1","","1","1","","1","","1","1","1","1","1","","1","","1","1","1","1","","","1","1","","1","","","","1","1","","1","","1","","","","1","1","1","","1","1","","","","1","","","","1","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"ARS Treatment Centers of New Jersey","Crossroads Treatment Centers","4 Murray Grove Lane","2nd Floor","Lanoka Harbor","NJ","08734","","Ocean","800-805-6989","https://www.crossroadstreatmentcenters.com","39.8556853","-74.1808085","SU","1","","","","1","","","1","","","","","","","","","","","","","1","1","","","1","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","1","1","1","1","","","1","","","1","","","1","1","1","","","","","","","","","","","","1","","","1","","","","","","1","","","","1","","","","","","1","","1","","","1","","","","","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","1","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Lacey Treatment Services","","411 US Highway 9","Suite 1","Lanoka Harbor","NJ","08734","","Ocean","732-930-1966","https://pinnacletreatment.com/location/new-jersey/lanoka-harbor/lacey-treatment-services/","39.8531965","-74.1807417","SU","1","","","","1","","","1","","","","","","","","","","","1","","1","1","","","","1","","","1","","","","","1","","1","1","","","","","","","","","","","","1","","1","","","1","","","","","1","1","1","1","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","","1","1","1","1","","","","1","","","1","1","1","1","","","1","","","1","","","1","1","1","","","","","1","1","","1","","","1","1","1","","1","1","","1","1","1","1","","1","","1","1","1","","","","","1","1","","","1","","","","","","1","","","","","","","","","","","","","1","","1","1","","1","","","","","","","","","1","1","","1","","","1","","1","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Creative Change Counseling","","3525 Quakerbridge Road","Suite 903","Trenton","NJ","08619","","Mercer","609-684-3146","https://www.creativechangeinc.org/","40.2547503","-74.6794724","SU","1","","","","","","1","1","1","1","","","","","","1","","","1","","1","1","1","","1","","","","1","","","","","1","1","1","1","","","","","","","","","","","","1","","","","","","","","","","1","1","1","","1","1","1","","","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","","","1","1","","1","","1","1","1","1","","","","1","1","1","1","1","","1","1","1","1","1","1","1","","1","1","1","1","","1","","1","","","","1","","1","1","1","1","1","","1","","","1","1","","","1","1","1","1","1","1","","","","1","1","1","","1","1","1","","","","","","","1","","","","","","1","1","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Footprints to Recovery","","3535 Quakerbridge Road","Suite 300","Trenton","NJ","08619","","Mercer","609-249-4645","https://www.footprintstorecovery.com/","40.2554563","-74.6789236","SU","1","","","","1","","1","1","1","1","","","","","","1","","","1","","1","1","1","","1","","","","1","","","","","1","1","1","1","","","","","","","","","","","","1","","","","1","","","","","","1","","","","1","1","","","","","","1","1","1","1","","","","","1","1","","1","1","1","1","1","","","","","","1","1","1","1","1","1","1","","1","1","","","1","","","1","1","1","1","","","1","1","","1","","1","1","1","1","1","1","","1","1","1","","","","1","1","1","1","1","1","1","","","1","","1","","1","1","","","1","1","1","","1","1","1","1","1","1","","","1","","","","","1","1","","","","1","","","","1","","","","1","1","","","","1","","","","1","","","","","","1","","","1","","","1","","","","1","","","","","","","","","","","","","","","","","","","","",""
